,company,industry_code,industry_name,sector_code,sector_name
234,Norben Tea, 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
235,Duncans Inds., 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
236,Dhunseri Tea, 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
237,NEPC Agro Foods, 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
238,Mcleod Russel, 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
239,Assam CO. (I), 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
240,Peria Kara. Tea, 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
241,United Nilgiri, 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
242,Tata Global, 28,Tea - Indian - Large, 9,Plantation & Plantation Products
243,Harri. Malayalam, 28,Tea - Indian - Large, 9,Plantation & Plantation Products
244,Jay Shree Tea, 28,Tea - Indian - Large, 9,Plantation & Plantation Products
245,Bombay Burmah, 28,Tea - Indian - Large, 9,Plantation & Plantation Products
246,Eastern Sugar, 126,Sugar - Others, 15,Sugar
247,Khaitan (India), 126,Sugar - Others, 15,Sugar
248,Dwarikesh Sugar, 126,Sugar - Others, 15,Sugar
249,KM Sugar Mills, 126,Sugar - Others, 15,Sugar
250,Oudh Sugar Mills, 126,Sugar - Others, 15,Sugar
251,Rana Sugars, 126,Sugar - Others, 15,Sugar
252,Willard India, 126,Sugar - Others, 15,Sugar
253,KCP Sugar &Inds., 126,Sugar - Others, 15,Sugar
254,Uttam Sug.Mills, 126,Sugar - Others, 15,Sugar
255,Pruden. Sugar, 126,Sugar - Others, 15,Sugar
256,Upper Gang. Sug., 126,Sugar - Others, 15,Sugar
257,Mawana Sugars, 126,Sugar - Others, 15,Sugar
258,Kesar Enterprise, 17,Sugar - Integrated, 15,Sugar
259,Sh.Renuka Sugar, 17,Sugar - Integrated, 15,Sugar
260,Balrampur Chini, 17,Sugar - Integrated, 15,Sugar
261,Ugar Sugar Works, 17,Sugar - Integrated, 15,Sugar
262,Rajshree Sugars, 17,Sugar - Integrated, 15,Sugar
263,Dhampur Sugar, 17,Sugar - Integrated, 15,Sugar
264,EID Parry, 17,Sugar - Integrated, 15,Sugar
265,Thiru Aroor. Su., 17,Sugar - Integrated, 15,Sugar
266,Triven.Engg.Ind., 17,Sugar - Integrated, 15,Sugar
267,Dharani Sugars, 17,Sugar - Integrated, 15,Sugar
268,Kothari Sugars, 17,Sugar - Integrated, 15,Sugar
269,Bannari Amm.Sug., 17,Sugar - Integrated, 15,Sugar
270,Ponni Sug.Erode, 17,Sugar - Integrated, 15,Sugar
271,Sakthi Sugars, 17,Sugar - Integrated, 15,Sugar
272,Parrys Sugar, 17,Sugar - Integrated, 15,Sugar
273,Dalmia Bharat, 17,Sugar - Integrated, 15,Sugar
274,Bajaj Hindusthan, 17,Sugar - Integrated, 15,Sugar
275,Bharat Wire, 272,Steel - Wires, 38,Steel
276,Bedmutha Indus., 272,Steel - Wires, 38,Steel
277,PSL, 110,Steel - Tubes / Pipes, 38,Steel
278,APL Apollo, 110,Steel - Tubes / Pipes, 38,Steel
279,Oil Country, 110,Steel - Tubes / Pipes, 38,Steel
280,Srikalahas. Pip., 110,Steel - Tubes / Pipes, 38,Steel
281,Technocraf.Inds., 110,Steel - Tubes / Pipes, 38,Steel
282,Man Inds., 110,Steel - Tubes / Pipes, 38,Steel
283,Welspun Corp, 110,Steel - Tubes / Pipes, 38,Steel
284,Hi-Tech Pipes, 110,Steel - Tubes / Pipes, 38,Steel
285,Steel Tubes (I), 110,Steel - Tubes / Pipes, 38,Steel
286,Innoventive Ind., 110,Steel - Tubes / Pipes, 38,Steel
287,MSP Steel & Pow., 85,Steel - Sponge Iron, 38,Steel
288,Ankit Met.Power, 85,Steel - Sponge Iron, 38,Steel
289,Vaswani Inds., 85,Steel - Sponge Iron, 38,Steel
290,Tata Sponge Iron, 85,Steel - Sponge Iron, 38,Steel
291,Monnet Ispat, 85,Steel - Sponge Iron, 38,Steel
292,S.A.L Steel, 85,Steel - Sponge Iron, 38,Steel
293,Jindal Steel, 85,Steel - Sponge Iron, 38,Steel
294,Gallantt Ispat, 85,Steel - Sponge Iron, 38,Steel
295,Vikash Metal, 85,Steel - Sponge Iron, 38,Steel
296,Jai Balaji Inds., 85,Steel - Sponge Iron, 38,Steel
